mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deferribacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__OD1	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia
1	KO	00m.1	0	23.5	23.3	23.4	0.99574465	0.85	129922.0	0.35264908844987486	0.0	4.029878538720742	2.720427502072195	0.0	0.6805694556209708	0.0	5.046920326948054	0.0	0.0	2.6697699608926433	0.0	1.649477789465083	1.4400911231932076	0.28962133019504455
2	KO	00m.1	0	24.0	19.1	19.8	0.825	20.42	159142.0	0.28331198181350664	0.0	3.845531301244304	2.2218004323430054	0.0	0.6123839777368723	1.1960953600906743	5.060181167537068	0.0	0.0	3.0374654315906975	0.0	0.7516131635761981	1.5988214970482142	0.24896748628001228
3	KO	00m.1	0	19.1	19.1	19.5	1.0209423	0.0	159156.0	0.5790494090369993	0.0	4.082812766968007	3.878997550196886	0.0	1.2368837524559209	0.7515817284008426	5.012655709489266	0.0	0.0	2.314092681483432	0.0	1.7987824029477173	2.4319231975257924	0.7515817284008426
4	KO	00m.2	0	20.8	20.8	20.9	1.0048077	0.0	152759.0	0.39160256759648226	0.0	3.9049949396177612	3.562288342595774	0.0	1.2727883508844935	1.117138885881324	5.046197654061717	0.0	0.0	2.0179479704852104	0.0	1.5715693211739796	1.993764377512842	1.117138885881324
5	KO	00m.2	0	24.6	23.9	24.0	0.9756097	2.85	132155.0	0.49648189873109744	0.0	3.819082093605676	3.9594606589162513	0.0	1.6690759973826734	0.0	5.029495564729913	0.0	0.0	2.4274660368355594	0.0	1.6233886754839277	2.007190497931171	0.7528642272509756
6	KO	00m.2	0	21.9	21.8	21.8	0.99543375	0.46	132953.0	0.304904051228045	0.0	3.885941663564561	2.6220740400831937	0.0	0.8742329430702012	1.3994967919803536	5.057322329344656	0.0	0.0	2.9427869605708104	0.0	1.4451270899078745	1.5697795068189113	0.0
7	KO	00m.3	0	18.8	18.8	19.5	1.0372341	0.0	141535.0	0.28760755056221077	0.0	3.83257540025293	2.666542283532713	0.0	0.651413539329515	1.8946544525980498	5.060613459305295	0.0	0.0	2.895453102102046	0.0	1.6569393962853005	1.5433680535773595	0.27192278186785906
8	KO	00m.3	0	18.4	18.4	19.0	1.0326087	0.0	130614.0	0.6331268068602768	0.0	4.096523395138696	3.9978227759212617	0.0	1.4226602722146668	1.4069005741258933	5.000868405644101	0.0	0.0	2.420265903396568	0.0	2.008234035996348	2.136116429862929	0.0
9	KO	00m.3	0	19.4	19.0	19.4	1.0	2.06	119074.0	0.3751911943357775	0.0	3.9348622048043382	3.4345256937235673	0.0	1.6271708389505568	0.916015159872318	5.047685449631799	0.0	0.0	2.031634579092143	0.0	1.5056345377500462	1.8470363446020697	0.0
10	KO	04m.1	4	25.2	23.8	23.8	0.94444436	5.56	138936.0	0.49288609634621344	0.0	4.293745976535581	1.5174427517166906	0.0	0.44299081156649445	0.0	5.010144713836309	0.0	0.0	3.0422585736247987	0.0	1.1814460105034155	0.8577192687178157	0.2756869005926248
11	KO	04m.1	4	25.0	24.7	25.3	1.012	1.2	134795.0	0.6532205315172441	0.0	4.289489530144152	3.7777276518006273	0.0	1.005981695398122	0.0	4.987686992665289	0.0	0.0	2.3054612267392183	0.0	2.274949653787446	2.068413412722207	0.0
12	KO	04m.2	4	26.4	23.7	23.9	0.905303	10.23	133513.0	0.5469509745378086	0.0	4.357486208604858	3.018528807308535	0.0	1.873968327843341	0.0	4.995832351293412	0.0	0.0	2.092410454672798	0.0	1.8631217689086847	1.7437917046066995	0.0
13	KO	04m.2	4	25.2	22.1	22.1	0.8769841	12.3	142723.0	0.6066882210135401	0.0	4.425644661615288	2.2012556203837024	0.0	1.4008303801577835	0.0	4.976706116377441	0.0	0.0	3.1060783427032868	0.0	2.354627719393325	1.9052865866185313	0.0
14	KO	04m.3	4	20.1	18.1	18.9	0.9402985	9.95	146182.0	0.565189433486615	0.0	4.367565871634625	3.194753008349066	0.0	0.8888226033067127	0.0	4.991594954007963	0.0	0.265450369130516	2.220541255252246	0.0	1.4720420469035522	1.4196329113357138	0.265450369130516
15	KO	04m.3	4	18.9	18.1	18.1	0.957672	4.23	149748.0	0.5495322980014401	0.0	4.296532147112768	3.3659405832707687	0.0	1.755400745007379	0.0	5.003422008180532	0.0	0.0	1.9804610950396482	0.260694898763465	1.2418525832972882	2.0494234943911653	0.42246338241145853
16	KO	04m.4	4	19.4	15.1	15.3	0.7886598	22.16	129431.0	0.7836355202498586	0.0	4.017459189106463	4.212075035656889	0.0	2.259667901149656	2.250478605923914	4.973091766031934	0.0	0.0	2.7181317102535565	0.0	1.7782092028908287	3.190986719097334	0.0
17	KO	04m.4	4	20.2	18.2	18.4	0.91089106	9.9	158135.0	0.726890565740019	0.0	4.472526157189683	3.632309266206662	0.0	1.6261991653389862	1.219577105366759	4.947737777357926	0.0	0.0	2.329729592127746	0.0	2.2038840704065423	2.096418974923176	0.25017249004316783
