mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	k__Bacteria;p__Chlamydiae;c__Chlamydiia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Firmicutes;Other	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__OD1;c__ZB2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Spirochaetes;c__[Leptospirae]	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__CK-1C4-19	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
1	KO	00m.1	0	23.5	23.3	23.4	0.99574465	0.85	129922.0	0.9327468071762505	0.0	3.1541384944634476	3.9678817312396553	2.720427502072195	0.0	0.0	0.0	0.0	0.0	0.6805694556209708	0.0	0.0	0.28962133019504455	3.6047581558225055	4.275489007997094	4.947077827857787	0.0	0.0	0.4618421147455301	0.4618421147455301	2.66445259633593	0.0	0.4618421147455301	0.0	1.649477789465083	0.0	1.4400911231932076	0.28962133019504455
2	KO	00m.1	0	24.0	19.1	19.8	0.825	20.42	159142.0	0.9055480701003339	0.0	3.048728318969924	3.7700599178477496	2.2218004323430054	0.0	0.0	0.0	0.0	0.0	0.6123839777368723	0.0	1.1960953600906743	0.0	3.539108633754484	4.38009650470414	4.941567819382396	0.0	0.0	0.0	0.24896748628001228	3.03684822551353	0.0	0.24896748628001228	0.0	0.7516131635761981	0.0	1.5988214970482142	0.24896748628001228
3	KO	00m.1	0	19.1	19.1	19.5	1.0209423	0.0	159156.0	1.121903843996075	0.0	3.7253935620298986	3.831748601290846	3.878997550196886	0.0	0.0	0.0	0.0	0.0	1.2368837524559209	0.0	0.7515817284008426	0.406195527595434	3.521322615650029	4.200197906554693	4.923139551955648	0.0	0.0	1.4485455545762862	1.9429338249494181	1.9390833985624327	0.0	0.8073942990489754	0.0	1.7987824029477173	0.0	2.4319231975257924	0.7515817284008426
4	KO	00m.2	0	20.8	20.8	20.9	1.0048077	0.0	152759.0	1.1326086751954085	0.0	3.379780735097365	3.751167088114565	3.562288342595774	0.0	0.0	0.0	0.0	0.0	1.2727883508844935	0.0	1.117138885881324	0.25681403065842867	3.8790424150077634	4.418477412414897	4.888994949642051	0.0	0.0	1.1430900004087217	1.6642509788259694	1.6076010676500883	0.0	0.8224821156272706	0.0	1.5715693211739796	0.0	1.993764377512842	1.117138885881324
5	KO	00m.2	0	24.6	23.9	24.0	0.9756097	2.85	132155.0	1.1706258902004332	0.0	3.2806072559486106	3.6707891404962725	3.9594606589162513	0.0	0.0	0.0	0.0	0.0	1.6690759973826734	0.0	0.0	0.0	3.888451205964898	4.319704006017913	4.894404580005874	0.0	0.0	1.3510008960950801	2.1095821529560603	2.073526625318607	0.0	0.0	0.0	1.6233886754839277	0.0	2.007190497931171	0.7528642272509756
6	KO	00m.2	0	21.9	21.8	21.8	0.99543375	0.46	132953.0	1.1048169218657096	0.0	2.8639800705241565	3.842619585681642	2.6220740400831937	0.0	0.0	0.0	0.0	0.0	0.8742329430702012	0.0	1.3994967919803536	0.2847757455797333	3.9221660619119927	4.527794683708962	4.857565848440981	0.0	0.0	0.2847757455797333	0.0	2.9409468815290474	0.0	0.5774446443640406	0.0	1.4451270899078745	0.0	1.5697795068189113	0.0
7	KO	00m.3	0	18.8	18.8	19.5	1.0372341	0.0	141535.0	1.2098901585241293	0.0	3.2359527070378915	3.7058944908064917	2.666542283532713	0.0	0.0	0.0	0.0	0.0	0.651413539329515	0.0	1.8946544525980498	0.5576333431891334	4.279466016609428	4.450026202726213	4.830975475910619	0.0	0.0	0.0	0.9010656158745703	2.8906176128229415	0.0	0.43786136040625984	0.0	1.6569393962853005	0.0	1.5433680535773595	0.27192278186785906
8	KO	00m.3	0	18.4	18.4	19.0	1.0326087	0.0	130614.0	1.4126078943009917	0.0	3.9916872010488604	3.4280482864434467	3.9978227759212617	0.0	0.0	0.0	0.0	0.0	1.4226602722146668	0.0	1.4069005741258933	0.8809194878967677	4.136625974492769	4.346430748800233	4.8081742532046405	0.0	0.0	1.2065547091283633	2.220229291729356	1.9093707313001709	0.0	0.4603330156667654	0.0	2.008234035996348	0.0	2.136116429862929	0.0
9	KO	00m.3	0	19.4	19.0	19.4	1.0	2.06	119074.0	1.1580866715729068	0.0	3.693073827522572	3.565331748803198	3.4345256937235673	0.0	0.0	0.0	0.0	0.0	1.6271708389505568	0.0	0.916015159872318	0.4870037146709536	4.1884793629834265	4.242909053003405	4.895845358918853	0.0	0.0	0.967369773892058	1.8953634700107451	1.292730747220895	0.0	0.4870037146709536	0.0	1.5056345377500462	0.0	1.8470363446020697	0.0
10	KO	04m.1	4	25.2	23.8	23.8	0.94444436	5.56	138936.0	1.47424654487779	0.0	4.000326217092578	3.9850149631647414	1.5174427517166906	0.0	0.0	0.0	0.0	0.0	0.44299081156649445	0.0	0.0	0.0	4.293471789934018	4.643470664654586	4.5878078806384135	0.0	0.0	0.2756869005926248	0.44299081156649445	3.040508270081328	0.0	0.44299081156649445	0.0	1.1814460105034155	0.0	0.8577192687178157	0.2756869005926248
11	KO	04m.1	4	25.0	24.7	25.3	1.012	1.2	134795.0	1.580128384259849	0.0	4.048278072475892	3.9191176009683395	3.7777276518006273	0.0	0.0	0.0	0.0	0.0	1.005981695398122	0.0	0.0	0.5730580483625319	4.246555706603898	4.646052895968573	4.547742088543751	0.0	0.0	0.9649578005061749	2.0784674208420957	1.8364904596402827	0.0	0.8690603489331228	0.0	2.274949653787446	0.0	2.068413412722207	0.0
12	KO	04m.2	4	26.4	23.7	23.9	0.905303	10.23	133513.0	1.0863818207241958	0.0	4.155340036522554	3.9282589584545193	3.018528807308535	0.0	0.0	0.0	0.0	0.0	1.873968327843341	0.0	0.0	0.0	3.7372885006055503	3.9660353721402446	4.926023365138025	0.0	0.0	0.5761029441358139	1.5891493907309493	1.8897465565985363	0.0	0.8153028771885187	0.0	1.8631217689086847	0.0	1.7437917046066995	0.0
13	KO	04m.2	4	25.2	22.1	22.1	0.8769841	12.3	142723.0	1.3564975115480227	0.0	3.879120561913846	4.280517937650249	2.2012556203837024	0.0	0.0	0.0	0.0	0.0	1.4008303801577835	0.0	0.0	0.0	3.687123851892499	4.476507683517154	4.777836881138596	0.0	0.0	0.4355592843644064	0.5550115486801361	3.1031322815058173	0.0	0.7255461366871859	0.0	2.354627719393325	0.0	1.9052865866185313	0.0
14	KO	04m.3	4	20.1	18.1	18.9	0.9402985	9.95	146182.0	1.364056492894802	0.0	4.134700871155851	3.9856882677364998	3.194753008349066	0.0	0.0	0.0	0.0	0.0	0.8888226033067127	0.0	0.0	0.0	4.152062140995714	4.223646990591685	4.8270903068395095	0.0	0.265450369130516	0.265450369130516	1.7719184095967033	2.019738706766849	0.0	0.5475342007855385	0.0	1.4720420469035522	0.0	1.4196329113357138	0.265450369130516
15	KO	04m.3	4	18.9	18.1	18.1	0.957672	4.23	149748.0	1.319920684309738	0.0	3.914336457562964	4.0638983617220275	3.3659405832707687	0.0	0.0	0.0	0.0	0.0	1.755400745007379	0.0	0.0	0.42246338241145853	3.977448088116085	4.33371683279014	4.843444943736966	0.0	0.0	0.42246338241145853	1.6245991008289447	1.6876329290520218	0.0	0.7086820893314247	0.260694898763465	1.2418525832972882	0.0	2.0494234943911653	0.42246338241145853
