mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	k__Bacteria;p__Firmicutes;Other;Other	k__Bacteria;p__Firmicutes;c__Bacilli;Other	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__OD1;c__ZB2;o__	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales]	k__Bacteria;p__TM7;c__TM7-3;o__CW040	k__Bacteria;p__Tenericutes;c__CK-1C4-19;o__	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
1	KO	00m.1	0	23.5	23.3	23.4	0.99574465	0.85	129922.0	0.9442332844834497	0.0	1.0926414541277454	3.15065960835709	3.9678817312396553	2.720427502072195	0.0	0.0	0.0	0.0	0.0	0.6805694556209708	0.0	0.0	0.28962133019504455	0.28962133019504455	0.9337484878487298	0.0	2.5939325750574693	3.5592853768834583	4.275489007997094	4.947077827857787	0.0	0.0	0.28962133019504455	0.0	0.0	0.28962133019504455	0.0	0.0	0.4618421147455301	0.0	2.66445259633593	0.0	0.0	0.4618421147455301	0.0	0.0	0.0	1.649477789465083	0.0	0.0	1.4400911231932076	0.28962133019504455
2	KO	00m.1	0	24.0	19.1	19.8	0.825	20.42	159142.0	0.9187056542191679	0.0	1.2559775770725619	3.0420667280020752	3.7700599178477496	2.2218004323430054	0.0	0.0	0.0	0.0	0.0	0.6123839777368723	0.0	1.1960953600906743	0.0	0.7516131635761981	0.8568770495693384	0.0	2.7117849844137725	3.467674509593192	4.38009650470414	4.941567819382396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24896748628001228	0.0	3.03684822551353	0.0	0.0	0.24896748628001228	0.0	0.0	0.0	0.7516131635761981	0.0	0.0	1.5988214970482142	0.24896748628001228
3	KO	00m.1	0	19.1	19.1	19.5	1.0209423	0.0	159156.0	1.1394014141209832	0.0	1.3085583157687826	3.7238091896929797	3.831748601290846	3.878997550196886	0.0	0.0	0.0	0.0	0.0	1.2368837524559209	0.0	0.7515817284008426	0.406195527595434	0.406195527595434	1.3403983313627668	0.0	2.8840590487241404	3.4038519559206852	4.200197906554693	4.923139551955648	0.0	0.0	1.1960595885035437	0.0	1.1265799941801333	0.0	0.0	0.0	1.9429338249494181	0.0	1.9390833985624327	0.0	0.0	0.8073942990489754	0.0	0.0	0.0	1.7987824029477173	0.0	1.411074547758933	2.3901936819343566	0.7515817284008426
4	KO	00m.2	0	20.8	20.8	20.9	1.0048077	0.0	152759.0	1.155466346801268	0.0	1.1430900004087217	3.377437340166237	3.751167088114565	3.562288342595774	0.0	0.0	0.0	0.0	0.0	1.2727883508844935	0.0	1.117138885881324	0.25681403065842867	1.167577464239605	0.9168540505717817	0.0	2.907088982402054	3.8287695058553193	4.418477412414897	4.888994949642051	0.0	0.0	0.25681403065842867	0.0	1.0600631458172918	0.4171063140693016	0.0	0.0	1.6642509788259694	0.0	1.6076010676500883	0.0	0.0	0.8224821156272706	0.0	0.0	0.0	1.5715693211739796	0.0	0.25681403065842867	1.9901969662826318	1.117138885881324
5	KO	00m.2	0	24.6	23.9	24.0	0.9756097	2.85	132155.0	1.2090284728142096	0.0	1.2017791740694848	3.27719945839342	3.6707891404962725	3.9594606589162513	0.0	0.0	0.0	0.0	0.0	1.6690759973826734	0.0	0.0	0.0	1.2017791740694848	0.8764991237859634	0.0	3.3033387705587405	3.7561595857993053	4.319704006017913	4.894404580005874	0.0	0.0	0.45701079699244845	0.0	1.2931965798747886	0.28603512744996734	0.0	0.0	2.1095821529560603	0.0	2.073526625318607	0.0	0.0	0.0	0.0	0.0	0.0	1.6233886754839277	0.0	1.2931965798747886	1.9192191565277816	0.7528642272509756
6	KO	00m.2	0	21.9	21.8	21.8	0.99543375	0.46	132953.0	1.1239189560340697	0.0	1.3831552861184746	2.849997853998324	3.842619585681642	2.6220740400831937	0.0	0.0	0.0	0.0	0.0	0.8742329430702012	0.0	1.3994967919803536	0.2847757455797333	0.924911598354578	0.6726629467060352	0.0	2.779157178538297	3.8891737036394334	4.527794683708962	4.857565848440981	0.0	0.0	0.0	0.0	0.2847757455797333	0.0	0.0	0.0	0.0	0.0	2.9409468815290474	0.0	0.0	0.5774446443640406	0.0	0.0	0.0	1.4451270899078745	0.0	0.0	1.5697795068189113	0.0
7	KO	00m.3	0	18.8	18.8	19.5	1.0372341	0.0	141535.0	1.3126695287397387	0.0	1.0585852386855956	3.2333101328924707	3.7058944908064917	2.666542283532713	0.0	0.0	0.0	0.0	0.0	0.651413539329515	0.0	1.8946544525980498	0.5576333431891334	1.7400599417888154	0.651413539329515	0.0	3.812848529431265	4.096065627630633	4.450026202726213	4.830975475910619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9010656158745703	0.0	2.8906176128229415	0.0	0.0	0.43786136040625984	0.0	0.0	0.0	1.6569393962853005	0.0	0.0	1.5433680535773595	0.27192278186785906
8	KO	00m.3	0	18.4	18.4	19.0	1.0326087	0.0	130614.0	1.4878866931003683	0.0	1.2546977550365466	3.9909350354309963	3.4280482864434467	3.9978227759212617	0.0	0.0	0.0	0.0	0.0	1.4226602722146668	0.0	1.4069005741258933	0.8809194878967677	1.6652981068256298	0.9317108102003432	0.0	3.6692660501379164	3.9530706550666785	4.346430748800233	4.8081742532046405	0.0	0.0	0.757062552762085	0.0	1.0559262440458188	0.0	0.0	0.0	2.220229291729356	0.0	1.9093707313001709	0.0	0.0	0.4603330156667654	0.0	0.0	0.0	2.008234035996348	0.0	0.28850004850074107	2.1331121735853045	0.0
9	KO	00m.3	0	19.4	19.0	19.4	1.0	2.06	119074.0	1.2493342416757518	0.0	1.4455672649700606	3.6906991137660423	3.565331748803198	3.4345256937235673	0.0	0.0	0.0	0.0	0.0	1.6271708389505568	0.0	0.916015159872318	0.4870037146709536	1.6956798097920054	1.054813733217801	0.0	3.8675234550293562	3.9033674728784042	4.242909053003405	4.895845358918853	0.0	0.0	0.3084628428175557	0.0	0.8577632426153754	0.3084628428175557	0.0	0.0	1.8953634700107451	0.0	1.292730747220895	0.0	0.0	0.4870037146709536	0.0	0.0	0.0	1.5056345377500462	0.0	0.4870037146709536	1.8340649055431253	0.0
10	KO	04m.1	4	25.2	23.8	23.8	0.94444436	5.56	138936.0	1.5278119541148807	0.0	1.4808518958870849	3.999054617292378	3.9850149631647414	1.5174427517166906	0.0	0.0	0.0	0.0	0.0	0.44299081156649445	0.0	0.0	0.0	1.6021875623792152	2.408832721845007	0.2756869005926248	3.111538381696465	4.256907055103299	4.643470664654586	4.5878078806384135	0.0	0.0	0.0	0.0	0.0	0.2756869005926248	0.0	0.0	0.44299081156649445	0.0	3.040508270081328	0.0	0.0	0.44299081156649445	0.0	0.0	0.0	1.1814460105034155	0.0	0.0	0.8577192687178157	0.2756869005926248
