mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"
1	KO	00m.1	0	23.5	23.3	23.4	0.99574465	0.85	129922.0	0.9327468071762505	-0.0541784176895644	0.101389765519962	0.0973955967901227	-0.0699707349594454	0.0653030567638736	0.023300072242837	0.0481531175937571	0.0343867011724432	-0.00513395730375741	0.106590473283085	-0.184852026128203	0.0834798491663908	0.0546559330568181	-0.226689436718565	0.145970525271602	-0.0402816359391763	-0.00479630683785444	-0.12756070087845	-0.0193631504662698	-0.00884745863701092	0.0320041097772974	-0.162706693195301	0.00584364335408959	-0.0168001001622484	-0.106479787518705	-0.0470633081611294	0.130036511817176	-0.141801524661316	-0.311975158787598	-0.202217270619886	-0.0108201166515345	-0.196863968005022	-0.252557423247219	0.0492748801700468	0.00916988709201759
2	KO	00m.1	0	24.0	19.1	19.8	0.825	20.42	159142.0	0.9055480701003339	-0.0935946655040991	0.0828710690536362	0.024283460768364	-0.229506425499514	0.0646564560401541	0.0412094113335528	0.0538834345044883	0.192830772921563	0.0928346247202267	0.0230963854106337	0.0151793305977392	-0.0706089319639672	-0.178372303981245	-0.00402469077288569	-0.0497998502550439	0.111689362192068	0.0827706847245895	-0.0336122142133758	-0.0684474910358032	0.130715964345237	-0.0404668177073842	0.0916602588578481	0.0678136947720187	-0.192489655103613	0.0745673548745408	0.0638066494126825	-0.0951886949544804	-0.0846946399361098	-0.0112423585963437	0.178836204917369	-0.077159627825193	-0.0596099788356963	-0.0526149267580713	-0.0949790854250363	-0.109291599743395
3	KO	00m.1	0	19.1	19.1	19.5	1.0209423	0.0	159156.0	1.121903843996075	0.123402310357538	0.0148522672935419	0.0793144279369554	0.0491476339833784	0.0635262746506703	-0.0636266484905745	0.0160995982456862	0.0200339577738031	-0.0622728264875541	0.169307525893096	-0.0692836235741113	-0.0376862409993134	-0.101509703584145	-0.105400302499781	0.0402768237130396	0.0510697710430148	0.157605527454756	-0.100917113730511	-0.0435780750135181	0.107964326829125	-0.062635117682301	-0.067186695424885	-0.0467981746661556	0.0138571188890431	-0.128568653828295	-0.172695182690967	0.0212481453991525	0.0794901085708685	0.379070663163087	0.132579171739041	0.272594833263468	-0.313919458607931	-0.0149010652397519	0.0414208039130665	0.00748946438145278
4	KO	00m.2	0	20.8	20.8	20.9	1.0048077	0.0	152759.0	1.1326086751954085	0.0970793945469698	0.00202911235313219	0.0678753867585406	-0.0125438048040893	0.0542797294115386	-0.0935527114181947	0.18224387802098	0.0440996407569447	-0.0277659830868473	0.129436788251001	0.00258124580675187	-0.152879362334518	0.0924992171443733	0.00128278428993113	0.075762223509784	0.121652784789613	0.102087515407772	0.19394301197109	0.0235422773136978	0.258801863972839	-0.0292899640362713	-0.152787314147261	0.146908835648227	-0.0281251425493277	-0.227344904215188	-0.0876987673979806	-0.105068845850373	0.0633262694175587	-0.0884423165666567	-0.0461766254743992	0.0355229921323314	0.333108335423274	-0.108828195832912	-0.0639048940497977	-0.101090215716002
5	KO	00m.2	0	24.6	23.9	24.0	0.9756097	2.85	132155.0	1.1706258902004332	0.119786909616711	0.0544590809001074	0.108057845957369	0.071386451760804	0.0973181876611965	0.202551997206761	0.00529148540697103	0.0734384049619582	0.122571739545119	0.168030268717223	-0.0453825887401132	-0.261710647783303	0.15025174082488	-0.167164890774417	-0.0425022573180002	0.0125529110795281	-0.0787095852055076	0.0923535498574468	-0.0798388700728041	0.146854252074257	0.0377337102787531	0.00693531799633179	-0.149843651249751	-0.00703106949954703	-0.0429373079114611	-0.0220375131460395	-0.133974502161901	-0.0657346114378956	0.0455557583108017	-0.122964431004708	-0.136750961452677	-0.0876447980051192	0.101786535689028	0.107728075716176	-0.117931283829692
6	KO	00m.2	0	21.9	21.8	21.8	0.99543375	0.46	132953.0	1.1048169218657096	-0.0365920583523291	0.098343675483086	0.0239815292056909	-0.204274257641815	-0.123454951282306	-0.0768575261168399	0.152336958057013	0.0777871135664935	-0.0487864063181017	0.0462779643631095	-0.0937370007117505	0.0236153079740839	-0.101292012961664	0.10196937019859	0.0782080846345381	0.0848398892586502	-0.195881966304371	0.140983980785745	0.122492236634495	-0.0156489680453665	0.0516453697261282	-0.110641454801278	-0.155145112654985	-0.125378151917384	-0.102047696503891	-0.155390998052296	0.0807201923930488	0.068239472700485	-0.0735058411454182	-0.0487276535570597	-0.147468542574881	0.132627783274087	0.116364759231169	0.0660121285503637	0.207264810282159
7	KO	00m.3	0	18.8	18.8	19.5	1.0372341	0.0	141535.0	1.2098901585241293	-0.0189805643746967	0.0709130922148707	-0.0483090704183174	-0.165887242431328	-0.0942514225455426	-0.110674494860056	0.168987798786052	0.0534960645967912	0.0593378818179159	-0.058362839618499	-0.0874060701128666	-0.0375785844292914	0.119357892879827	-0.0898239985481953	0.0900045591746509	-0.0460793060806886	-0.0970025661992836	-0.204519001640064	-0.313849796592516	0.0121354297791473	0.0342040322330199	0.0840614020736624	0.120000474308595	0.135414398288634	0.087308880401268	0.0984999811055418	0.0290750377825861	0.0779331446037074	0.0580548716755527	-0.0810498959572513	-0.101559537783399	0.0958368820559602	-0.0406959972855794	0.043516394624719	-0.0861014398929671
8	KO	00m.3	0	18.4	18.4	19.0	1.0326087	0.0	130614.0	1.4126078943009917	0.153651019054986	0.0582795534242742	0.000735083030320044	0.0514367504090594	-0.0644224209724578	-0.0988638586718577	0.0717289543843302	0.0319618226357435	0.0453636008881574	0.0188947199022667	0.0200432516035805	-0.110598510284663	-0.127766413734183	0.0467296934037979	-0.0662422502884727	-0.107940714965389	-0.149353864031819	-0.0781254808497861	-0.00685432708092623	-0.00208852235223562	0.0415599619426889	0.133969890953777	-0.0831762917754202	-0.0858812522042055	-0.0785178752652116	0.24793111827963	-0.173297826306966	0.151261138713346	0.0181204596719687	0.00994824693753223	-0.0123050177476508	0.163460247283824	-0.285200211808926	0.173167895203347	0.301467846337774
9	KO	00m.3	0	19.4	19.0	19.4	1.0	2.06	119074.0	1.1580866715729068	0.107758039671676	0.0740746341843177	0.075610838827727	0.0378914901415818	0.0543971605236408	-0.082186502810952	0.19654478636573	-0.040680507763222	0.060989039383093	-0.013003313867688	0.115948785866643	-0.127764401721609	0.0849893714948484	0.178970122666943	0.0615700245255482	0.00482419548844108	-0.0745136658543495	-0.0928962775605896	0.0938934301663331	0.0209063824427638	-0.176337299703513	0.14052569758894	-0.0322420459855598	0.0107371842655051	0.0927492218318741	-0.0472605475943046	0.0642303114735071	0.355978399585052	-0.080025630738692	-0.212872750561368	0.112328487754867	-0.144468638629255	-0.0460950409504282	-0.192343842749255	0.0558165856580982
10	KO	04m.1	4	25.2	23.8	23.8	0.94444436	5.56	138936.0	1.47424654487779	-0.13964028834019	0.120435223044989	0.0157848503500117	0.000836598761922266	-0.107135536808253	0.0260405377295813	0.0172557191445688	0.0649443570536884	-0.0210402653608274	-0.0678456876701115	0.0528659202248021	0.0752563679279588	0.281884653361338	-0.154987860623247	-0.377511749758146	-0.0770431150447182	0.0672693494164631	-0.0650097979746606	0.182365176011852	-0.0816897460243219	-0.111646119169609	-0.0910507588925839	-0.114544466259079	-0.102485722899681	0.140519167678645	0.0065106066614963	-0.232428357850995	-0.0364589153264633	-0.0200595129155244	-0.0462073585345655	-0.0270897198560361	-0.0440183678866606	-0.10325244450467	0.114756077491128	0.0280695954870037
