mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"	"MDS42"	"MDS43"	"MDS44"	"MDS45"	"MDS46"	"MDS47"
1	KO	00m.1	0	23.5	23.3	23.4	0.99574465	0.85	129922.0	1.2106578712676266	-0.09995242282381	-0.0306232938484898	-0.100841523867103	0.131224707704129	0.0711290655345633	0.0523275993175125	0.0409083872004678	-0.151866773264202	-0.0779205762938201	-0.00377731620436404	0.0199454742163622	-0.104065335163875	0.0528537091730736	0.12612618966046	-0.0758313422299623	0.0842868457357132	0.0168875561791617	0.122121940331536	0.00660238035969442	0.0419858840410879	0.029466012683806	-0.0664709358678008	0.010025517270542	-0.171390745070933	-0.0598963113576003	0.0510974715550595	-0.0915860125685771	0.292180832449038	-0.0340308494537441	-0.176514001393766	0.0178909004223197	0.147517246086304	-0.215195003456413	0.230506308756355	-0.0767706677205916	0.180551144873237	0.148296549273722	0.12973658135862	0.0698921077967561	0.0197154787632859	-0.281663857108938	0.00790591790373394	-0.0453393229547218	-0.00658969561010093	0.130475624048048	0.0923384103389526	0.137226331996414
2	KO	00m.1	0	24.0	19.1	19.8	0.825	20.42	159142.0	1.294907891847452	-0.0966867481583272	-0.021009866293588	-0.0305430795522982	0.21806245966833	0.00355915171802088	0.107765202926649	0.124181844178575	-0.0760565767807436	-0.0389823738982455	0.012939812477555	0.00393318091473209	-0.0403477363097169	0.0300126212720923	-0.00536713489669931	-0.100713559324521	0.0190176865472611	0.121654644972024	0.147997075552293	-0.0324158301181935	0.061697380811363	-0.192951246274144	0.054424139407041	0.00199214854789617	-0.00666094992905823	0.0482302934386149	0.0787257276935509	-0.039965437202646	0.0837073549874468	0.015107247155743	0.15303442095994	-0.0825283343537773	-0.150977016337744	0.158075685727715	0.0220467130625909	0.155636722409784	-0.0516276736229705	-0.181558700919856	0.0544534734629704	-0.181659243677621	0.0881010151359426	-0.0433739836927659	-0.0299650743622875	-0.22096986989807	-0.102818730920367	0.0466054932070042	-0.313315432955527	-0.0286796373172148
3	KO	00m.1	0	19.1	19.1	19.5	1.0209423	0.0	159156.0	1.4402405035946995	0.100037773759637	-0.0383180845865389	-0.0862589633261535	0.0111848919178035	0.085528610060827	0.00769889459718456	0.0305543027855046	-0.177985119284368	-0.0690495390103246	-0.0704578904049482	0.0388592943635749	-0.159242071135308	-0.0325740231166305	0.100117870278982	-0.0061077217036328	0.0497935732015875	0.215834635737217	0.163880688011522	0.107723863502583	0.0355584139182178	-0.0314623932146804	-0.214983638140109	0.091642044479693	-0.0825261122983495	0.0906976891910173	0.0817673759313897	-0.0596205832911433	-0.0512075439947899	-0.0714369069107708	-0.0385574139412671	0.0703980072495272	0.037472989501719	-0.132468431925091	0.132197381122083	0.0548354976137344	0.00923636663299626	-0.156238395246324	-0.121815100402642	-0.178381609119393	0.0952651651620141	0.0147149062122934	0.111751478064285	0.170972754670809	-0.137788100757228	0.00442071324733636	0.0345611595175376	-0.1728465599973
4	KO	00m.2	0	20.8	20.8	20.9	1.0048077	0.0	152759.0	1.5268786493545268	0.0639628775310418	-0.07283329550926	-0.0486651209991873	0.0223017551468641	0.0729866619528103	-0.0356903133569806	0.071590335319198	-0.185263393283191	-0.131126774791952	0.0489138003715072	-0.0606950460600088	-0.091969533357674	-0.0361135359051837	0.153817584294521	0.0886932474748633	-0.231086378381706	0.0837528115639615	0.0775728458673616	-0.0800515172361468	-0.0746874611839079	0.0366603603938403	-0.0374491306830679	-0.115216752805688	-0.00124735317210926	0.0621232589164742	-0.0400877467426102	0.0247029950953207	0.036837195780244	-0.0166969934727449	-0.0773411627278016	0.140808135529417	0.00227250365104549	0.104897397023406	-0.149461031651355	0.0962051597067333	-0.298033688939292	0.0667234565397368	0.133268154922839	0.128512582516362	-0.168651138363762	0.105126670317723	0.0686320235033103	-0.189245813648767	0.129934521699273	-0.0186510238749602	-0.127710017543156	-0.116276064968833
5	KO	00m.2	0	24.6	23.9	24.0	0.9756097	2.85	132155.0	1.5635073490532976	0.116079929746914	-0.0929715105969467	-0.0843027488278133	0.0487404966172611	0.0654355647734577	0.0280929291311187	0.0538081370268393	-0.0717642669373662	0.0480372932416168	-0.11012227513346	-0.0800471623499157	-0.16926189740368	0.144726175863029	0.112769205822428	0.0155192842032142	-0.0996398644958734	0.0218562939163482	-0.107912432316327	-0.0782742629823379	-0.0222175444508015	-0.0569777765370107	0.184282444560514	0.173505247862816	-0.0774249659104601	0.0315487281868699	-0.0259942306318555	0.0689146571013805	0.176783129700454	0.101478913126139	-0.075823722561018	0.0023682411030887	0.178868436597758	0.0234222518871243	-0.0554556604978131	0.132498669753249	0.0685907726082142	-0.0164502969138122	0.0672995949198901	0.0718357454134939	-0.144211504706435	0.103038097100519	0.00668908369844519	0.104838189076866	-0.0234283121475481	0.188044329890784	-0.00676410248685503	0.212160957184716
6	KO	00m.2	0	21.9	21.8	21.8	0.99543375	0.46	132953.0	1.6028046162302507	-0.04930981685948	-0.0359242060446332	-0.0364926919495591	0.177219356236328	-0.0542456552883693	0.0301832392191483	0.100732327120075	-0.0399244185601977	-0.0912681512368054	0.0870055185234138	-0.122922882440877	0.101293076180001	0.0507723598059018	0.0841319703706772	-0.119723712579083	0.0150296410304615	0.0414735323048872	0.233194067502423	-0.115428969769723	-0.0228948785419142	-0.113310533400026	-0.0185639880322244	0.109958405232561	0.0771198403612175	-0.0669575984897821	-0.00395652192560244	0.106529058582959	0.0786915512203606	-0.186128446881124	0.0185293845341769	0.00788483364961268	-0.0463219017068718	0.119558032556892	-0.0447456277585774	0.0984349315673785	0.0336287244715773	0.00742157540388023	-0.220020345631634	0.121830542947597	-0.279951841239458	0.11775625611225	0.0566453099573489	0.22557917700557	0.10092433573489	-0.186555001161572	0.126876632693131	-0.11798529481909
7	KO	00m.3	0	18.8	18.8	19.5	1.0372341	0.0	141535.0	1.6956991027780224	-0.0237542864318566	-0.0635295713047389	0.0153789731923033	0.166383842248167	0.0256736030246085	-0.00484793318632137	0.175665256892309	0.0900357509291776	-0.0968473797181707	0.00477894747449381	0.0482566617637797	0.197788066505536	-0.0293292918103148	0.128293892863012	-0.0201055469933849	-0.036686817475256	-0.112814044563587	0.0820116347930552	-0.125268678961579	-0.210628850447991	-0.0679863236788512	0.109749986422685	0.0507170990975347	-0.132921307008953	-0.152321579659397	-0.179746592249159	-0.11648773575385	0.0314871832116158	0.0934496339481333	-0.0616397189942766	-0.0666314875406538	0.0936612859567127	-0.0317287666555703	0.0670370913595093	-0.298908118632896	-0.0788451637644398	0.0896285173528938	0.056992960905137	-0.0628226603991387	0.106658179117376	0.0872381729885314	-0.0498041055221935	0.0705103951211117	-0.289159029849551	0.235478591523547	0.0181389663877291	0.00370269687640761
8	KO	00m.3	0	18.4	18.4	19.0	1.0326087	0.0	130614.0	1.8920011152331215	0.138918790814695	-0.12376085559872	-0.0600382412216881	0.016186157440862	0.0671532219930608	-0.0195325478766804	0.0638738825320819	-0.0441840257047671	0.0366595164197931	0.0186214982228425	-0.00659074259400162	0.0390914550235362	-0.118516650790803	0.027286354092532	-0.098652612188679	-0.00466285017757856	0.123771970298339	0.0525346407010216	0.0285540094688044	-0.295857829053833	0.0636922449060236	0.174566740807148	0.173898485575025	-0.0210467989207512	0.112167241000598	-0.0570749602502762	0.123843674026805	-0.199592978600826	0.0481741273832582	0.0442684283138814	0.0250118224810555	-0.177339107739555	-0.0707023160276095	-0.040011138385113	-0.135072284662976	0.124530023251676	0.0360285793105837	-0.050019767015924	-0.113599144128011	0.0670502252501665	0.0925109446828462	-0.0988727720412212	-0.0268083771899579	-0.202977540669139	0.0924755892923385	-0.0683458513736372	-0.231868606565254
9	KO	00m.3	0	19.4	19.0	19.4	1.0	2.06	119074.0	1.4857814054042358	0.0522104716041187	-0.102972219689823	-0.136674090902223	0.0256839313239777	0.148009605627637	-0.147826730892592	0.184714149270168	0.0469906957745157	-0.111157469069805	-0.00636190596824465	0.00864228698613927	-0.0796925755991721	-0.282961032041657	-0.129537409887486	0.00945516246894479	0.0359768098001479	-0.0132711392468587	0.0231411204689522	-0.0540053376945264	-0.158110762378947	-0.0670399793706859	0.208396694756893	-0.00395140027635467	0.0839152652488268	0.0813881605652337	0.034693747385125	-0.193711542707149	-0.0535281630536622	-0.168977450304953	0.00735769295274682	0.0884836947921898	0.122290801778517	-0.0267584856335054	-0.112412696540569	0.0552916855690756	0.153775888556886	0.0477525921390429	-0.0857758303687107	0.152142194384004	0.179620274986148	0.0238746577488241	-0.0777819809722017	-0.0232566764515287	0.222788695005418	-0.223271011355233	0.0523990120503506	-0.00526082570367881
10	KO	04m.1	4	25.2	23.8	23.8	0.94444436	5.56	138936.0	1.8145661322490123	-0.147992241173508	-0.0987197212818626	-0.187529457273903	-0.0944196265442481	-0.0940761389522343	0.0273121280039905	0.0439490463794953	-0.0892726962611009	0.170813741228726	0.00817772803938178	-0.213414991556045	0.208961497549863	0.00256064620330482	-0.104978757613143	0.0574388732241825	0.0540592928553009	0.0647866922411478	-0.124134764446246	-0.104494697827042	0.0746340316860269	0.132963078565884	-0.0790100827498205	0.0175031562827629	-0.202750265693689	-0.0525341369181414	0.0250875350275113	0.0226974055602206	0.0775446260427553	0.10698878056019	0.289709156109283	-0.0909116851638158	0.176060182391456	0.0481747479861557	0.161899944139616	0.0763272381470256	-0.0218234758211455	0.0290523831982502	0.0101629611372177	-0.0591981282103289	-0.0476633726049291	0.167926065595416	0.0978681072436336	0.0162312457355673	0.000510390443084657	-0.105850600486204	-0.0493337841217571	-0.0581803060369504
