"names"	"pValuesGenotype"	"pValuesTime"	"pValuesWeightLoss"	"pValuesCage"	"indexes"	"pValuesGenotypeAdjusted"	"pValuesTimeAdjusted"	"pValuesWeightLossAdjusted"	"pValuesCageAdjusted"
"MDS1"	0.519844205360504	0.0643665636533548	0.100204820057466	0.000399526680296924	12	0.715226114645016	0.118005366697817	0.27556325515803	0.000627827640466595
"MDS2"	0.610659533132327	2.6179911486289e-05	0.16076359894896	3.02341672607711e-21	13	0.715226114645016	0.00014398951317459	0.277851629470184	3.32575839868482e-20
"MDS3"	0.619633888813659	0.0590710285380876	0.130967066383744	6.06831953227562e-17	14	0.715226114645016	0.118005366697817	0.277851629470184	3.33757574275159e-16
"MDS4"	0.172778159075741	4.02341489246048e-08	0.831697465233577	1.3798607134209e-08	15	0.38011194996663	4.42575638170652e-07	0.914867211756934	3.79461696190747e-08
"MDS5"	0.0588024690971606	0.333649195925156	0.987200305888655	2.57139139040245e-07	16	0.180352848643033	0.509925298685822	0.987200305888655	5.6570610588854e-07
"MDS6"	0.599220470856276	0.00547299287089172	0.0370148438880975	0.000966414258492216	17	0.715226114645016	0.020067640526603	0.135721094256357	0.0013288196054268
"MDS7"	0.00407236596429784	0.417211608015673	0.000205935877335433	1.09065563198537e-09	18	0.0447960256072763	0.509925298685822	0.00226529465068976	3.99907065061303e-09
"MDS8"	0.0240841310054765	0.0506238114448315	0.0311195326403858	1.69504845726783e-06	19	0.132462720530121	0.118005366697817	0.135721094256357	3.10758883832435e-06
"MDS9"	0.718129115962055	0.382242374612642	0.278047249311875	0.0156355950368652	20	0.718129115962055	0.509925298685822	0.382314967803828	0.0156355950368652
"MDS10"	0.650205558768196	0.685843413161369	0.176814673299208	0.0142074154818058	21	0.715226114645016	0.754427754477505	0.277851629470184	0.0156281570299864
"MDS11"	0.065582854052012	0.956185479019341	0.563398430044011	0.0017555656811069	22	0.180352848643033	0.956185479019341	0.688598081164902	0.00214569138801955
