"names"	"pValuesGenotype"	"pValuesTime"	"pValuesWeightLoss"	"indexes"	"pValuesGenotypeAdjusted"	"pValuesTimeAdjusted"	"pValuesWeightLossAdjusted"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium"	6.43150369570706e-05	0.136224131910864	0.0285538248260126	15	0.0043734225130808	0.264664027712536	0.194166008816886
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__"	0.721078873494425	3.08263492290377e-07	0.00246532900606368	19	0.910355937180717	1.04809587378728e-05	0.0558807908041101
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.323442371759467	0.00108874450044787	0.158486987770297	23	0.699834705612382	0.00740346260304553	0.413165701704193
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.Other"	0.127263709714505	0.689848886687982	0.00636696848781914	24	0.512635687499481	0.823214948865999	0.0661666244701469
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__"	0.00590764996793343	0.0296743729937759	0.00760861282232902	25	0.133906732606491	0.0972208247712043	0.0661666244701469
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia"	0.89011021057779	0.634405513003336	0.186980937066761	26	0.960753878083964	0.784355906985943	0.423823457351324
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium"	0.560671080669274	0.258076463519158	0.38465155642085	27	0.830683097634048	0.408120919053552	0.610332859660287
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.g__"	0.161273362507076	0.0412664688185068	0.00725394546656252	31	0.577188876341116	0.101676642669651	0.0661666244701469
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.574819278120628	0.0771284415524192	0.128168376897336	32	0.830683097634048	0.169184968566597	0.363143734542451
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides"	0.722929714819981	0.0418668528639738	0.0858860852286085	33	0.910355937180717	0.101676642669651	0.322910209802499
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	0.451941195467144	0.602301384146053	0.268137960981771	34	0.808736876099099	0.758453594850585	0.494336361290319
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__"	0.502106720729665	0.165527643209531	0.0540521217583449	35	0.830683097634048	0.28861230098072	0.264576879419044
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12"	0.423802846206331	0.0734443609613421	0.195046933942992	36	0.788994154373724	0.166473884845709	0.427844887358821
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__"	0.82426816292226	0.241788462275139	0.268977137760909	38	0.936269643976719	0.391467034159748	0.494336361290319
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter"	0.513323519649483	0.030024078238166	0.176203019844435	39	0.830683097634048	0.0972208247712043	0.413165701704193
"k__Bacteria.p__Cyanobacteria.c__4C0d.2.o__YS2.f__.g__"	0.587811547767171	0.442367783372489	0.00473201582453772	49	0.830683097634048	0.592877457968315	0.0661666244701469
"k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.617384421732571	0.0350354068514794	0.704297919277044	51	0.839642813556297	0.100399618036728	0.793692577752306
"k__Bacteria.p__Firmicutes.Other.Other.Other.Other"	0.261096200196063	0.444658093476236	0.753695490708372	52	0.699834705612382	0.592877457968315	0.82663376400273
"k__Bacteria.p__Firmicutes.c__Bacilli.Other.Other.Other"	0.0163052565419961	0.0389598918783573	0.0997222706743012	53	0.184792907475956	0.101676642669651	0.322910209802499
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.Other.Other"	0.2024092292832	0.70215392697394	0.604316162603872	54	0.625628526875344	0.823214948865999	0.756852397984679
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus"	0.523720869012474	0.163581819035705	0.259717469891529	68	0.830683097634048	0.28861230098072	0.494336361290319
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__"	0.07841709945219	0.00233586991623904	0.523785286961093	76	0.380883054482066	0.0113456538788753	0.684949990641429
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.Other"	0.990869985910379	0.830397170098031	0.469760107804629	80	0.990869985910379	0.896301707407399	0.655349357111927
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus"	0.697145015382775	0.0150427557928809	0.361709567876356	82	0.910355937180717	0.0568281885508834	0.610332859660287
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.0239686283031395	0.159010779009775	0.377033195573004	84	0.193683769055566	0.28861230098072	0.610332859660287
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus"	0.953085016742051	0.986521049961921	0.223562078374505	87	0.98196638088575	0.986521049961921	0.475069416545823
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter"	0.12815892187487	0.00145305166756875	0.0544717104686268	88	0.512635687499481	0.00760057795343653	0.264576879419044
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other"	0.857839562390047	2.62037589786156e-06	0.394921262133127	89	0.940856294234245	4.45463902636466e-05	0.610332859660287
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__"	0.172540844008251	0.529582254249423	0.886434633349094	90	0.586638869628054	0.692530640172322	0.913296288905127
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__"	0.0659842485005708	0.695700047167871	0.96461473196004	91	0.373910741503235	0.823214948865999	0.97160456370957
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Christensenella"	0.0123665394508458	0.364209110919086	0.0978289947470953	92	0.168184936531503	0.526940841329742	0.322910209802499
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.Other"	0.414462466542657	0.00125108620288452	0.142063071840064	93	0.788994154373724	0.00760057795343653	0.386411555404973
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__"	0.671619287115666	0.00142613941015035	0.107012088413327	94	0.895492382820888	0.00760057795343653	0.33076463691392
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus"	0.429305642820997	5.5768957222099e-09	0.168315749480214	97	0.788994154373724	3.79228909110273e-07	0.413165701704193
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium"	0.0727713158325556	0.358484798232844	0.794357927841396	98	0.380649959739521	0.526940841329742	0.834193684073587
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53"	0.952279201233422	2.32655051087742e-05	0.499252400326437	99	0.98196638088575	0.000197756793424581	0.677526714562049
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium"	0.482984374499311	0.141825138714998	0.443512072407102	101	0.830683097634048	0.267891928683884	0.655349357111927
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis"	0.754073527380547	4.07001506323912e-06	0.619337541217105	102	0.932309088397767	5.23964541976628e-05	0.756852397984679
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other"	0.0574743293543792	0.413525558214092	0.000272661339491087	103	0.355295854190708	0.573872203235883	0.0185409710853939
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__"	0.329242670267217	0.970962894407779	0.634461150205355	104	0.699834705612382	0.985454877906403	0.756901021297617
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes"	0.0983563780733214	0.0354351593070803	0.554338519921603	105	0.445882247265724	0.100399618036728	0.711226780276774
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia"	0.982360173326763	0.879525658866545	0.76624044144819	106	0.990869985910379	0.920119150814231	0.827053174896459
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	0.329725485388259	0.776177731091062	0.62329021010503	108	0.699834705612382	0.851291705067616	0.756852397984679
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea"	0.826120274097105	0.299695417193743	0.0658192757141614	109	0.936269643976719	0.452873074870545	0.279731921785186
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus."	0.59858046741277	0.216247769345341	0.00186492245392553	113	0.830683097634048	0.366327771886443	0.0558807908041101
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__"	0.00803607327041107	0.00515393151724897	0.253058099643042	114	0.136613245596988	0.0219042089483081	0.494336361290319
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__"	0.853531352050753	1.89836571447458e-05	0.095282122551224	116	0.940856294234245	0.000184412669406102	0.322910209802499
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other"	0.000353477506384252	0.771906101011918	0.267800489199931	117	0.0120182352170646	0.851291705067616	0.494336361290319
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__"	0.580317438196259	0.000185303577915996	0.706805529046682	118	0.830683097634048	0.00140007147758753	0.793692577752306
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus"	0.806551013125549	0.032342189349502	0.97160456370957	119	0.936269643976719	0.099966767080279	0.97160456370957
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira"	0.813532365786513	0.00414146644912911	0.391486414804892	121	0.936269643976719	0.0187746479027186	0.610332859660287
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus"	0.0552624508440221	0.0699602502557547	0.472237036742418	122	0.355295854190708	0.164044724737632	0.655349357111927
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__"	0.3225397514083	0.85457121087116	0.440440744484137	129	0.699834705612382	0.907981911550608	0.655349357111927
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__Anaerovorax"	0.33962566595895	0.00802304260352821	0.353107702850468	130	0.699834705612382	0.0320921704141128	0.610332859660287
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__"	0.566201585273523	9.30130668397347e-07	0.17289802027766	133	0.830683097634048	2.10829618170065e-05	0.413165701704193
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum"	0.14585353211368	0.750687233887642	0.668038728119162	134	0.551002232429457	0.850778865072661	0.783217819174189
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus"	0.195142024373952	0.108027736148925	0.375354680526984	136	0.625628526875344	0.222602607822027	0.610332859660287
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__.f__.g__"	0.806544307846413	0.0170796053515921	0.71198893004251	141	0.936269643976719	0.0611270086267506	0.793692577752306
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__"	0.23808573687034	0.0799546513297749	0.0874611470526835	143	0.674576254465963	0.169903634075772	0.322910209802499
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella"	0.404241542508194	0.381824608948485	0.124839273054789	153	0.788994154373724	0.540918196010354	0.363143734542451
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__"	0.301139485641831	0.578522519461719	0.0586944730620955	161	0.699834705612382	0.742255307988621	0.266081611214833
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.317534399682566	0.94451014047767	0.0496669893758686	162	0.699834705612382	0.973131659886085	0.264576879419044
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.0256346164926484	0.272562158604429	0.00778430876119376	163	0.193683769055566	0.421232426934117	0.0661666244701469
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__"	0.936876187099313	0.127025146221172	0.469583413537476	169	0.98196638088575	0.254050292442344	0.655349357111927
"k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__"	0.0247083739491426	0.0383841956191258	0.0130314864585618	173	0.193683769055566	0.101676642669651	0.0984601199091337
"k__Bacteria.p__Tenericutes.c__Mollicutes.o__Anaeroplasmatales.f__Anaeroplasmataceae.g__Anaeroplasma"	0.557692922430822	0.73498769027942	0.0329059822901518	175	0.830683097634048	0.84710445659323	0.203418799611847
"k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__"	0.236694423256832	0.220874097755061	0.508145035921537	176	0.674576254465963	0.366327771886443	0.677526714562049
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia"	0.270206839441315	4.6232165468526e-06	0.797391021540929	177	0.699834705612382	5.23964541976628e-05	0.834193684073587
